holding_month,portfolio,instrument,contribution
2018-03,baseline,A185750,7.953550952428511e-05
2018-03,baseline,A192400,-0.00012600011607165888
2018-03,baseline,A192820,0.0010513296234672413
2018-03,baseline,A204320,7.304451056468279e-05
2018-03,baseline,A207940,0.00022241751415518423
2018-03,baseline,A214320,0.00034113789678644066
2018-03,baseline,A251270,0.0002525252629894311
2018-03,baseline,A267250,-2.8758874070046083e-11
2018-03,baseline,A271560,0.001065702890923236
2018-03,high_pbr,A001060,0.00015172204501795317
2018-03,high_pbr,A002790,0.0051488002543693505
2018-03,high_pbr,A002960,-0.001042902896697509
2018-03,high_pbr,A003000,0.001781376458449301
2018-03,high_pbr,A003520,-0.0010696140422716085
2018-03,high_pbr,A005250,-0.0011947431894173404
2018-03,high_pbr,A005610,-0.0006930007625916827
2018-03,high_pbr,A007570,0.0011609778919933
2018-03,high_pbr,A008770,0.006331891338174034
2018-03,high_pbr,A008930,0.0030129745256328665
2018-03,high_pbr,A009240,0.0007666752362944044
2018-03,high_pbr,A009420,-0.0005836350016844429
2018-03,high_pbr,A012750,0.0012066365525621088
2018-03,high_pbr,A014680,-0.0017140658508596786
2018-03,high_pbr,A014820,-0.0008349494037535328
2018-03,high_pbr,A018260,0.0013466924824762283
2018-03,high_pbr,A018880,-0.0013440860266191847
2018-03,high_pbr,A020150,0.0033850822969418593
2018-03,high_pbr,A021240,0.0011057318705123276
2018-03,high_pbr,A028050,0.003462775130774918
2018-03,high_pbr,A035420,-3.262218034158706e-05
2018-03,high_pbr,A035720,0.00030165909527186843
2018-03,high_pbr,A036570,0.0036336213096791214
2018-03,high_pbr,A047810,0.00010487117422429378
2018-03,high_pbr,A051900,0.0036529680158422077
2018-03,high_pbr,A069620,0.002318229569563999
2018-03,high_pbr,A079160,0.00011262533277978958
2018-03,high_pbr,A090430,0.005351575287224955
2018-03,high_pbr,A093370,0.0018849618680836916
2018-03,high_pbr,A096760,3.153867513967967e-05
2018-03,high_pbr,A114090,0.005015497332717644
2018-03,high_pbr,A128940,0.0028990403205447
2018-03,high_pbr,A161890,0.002044578540988208
2018-03,high_pbr,A185750,0.0004037956637386782
2018-03,high_pbr,A192820,0.005337519626833686
2018-03,high_pbr,A204320,0.0003708413613283895
2018-03,high_pbr,A207940,0.0011291966103263197
2018-03,high_pbr,A251270,0.0012820513351771117
2018-03,high_pbr,A271560,0.0054104916000718125
2018-03,low_pbr,A000030,-0.0036741713800118973
2018-03,low_pbr,A000050,0.0005614822658899005
2018-03,low_pbr,A000070,-0.0027505828102474604
2018-03,low_pbr,A000210,0.0004629629045045608
2018-03,low_pbr,A000270,-0.0017604286342719773
2018-03,low_pbr,A000720,0.002679419278753842
2018-03,low_pbr,A001230,-0.0005279035141592911
2018-03,low_pbr,A001430,-0.0018115942106926033
2018-03,low_pbr,A001520,-0.002251407096022311
2018-03,low_pbr,A001740,-0.0008285364943924836
2018-03,low_pbr,A002240,-0.0002465483295092108
2018-03,low_pbr,A002380,-0.0006518904666925276
2018-03,low_pbr,A003030,-0.0013795172239246091
2018-03,low_pbr,A003240,0.0010616987774108306
2018-03,low_pbr,A003300,-0.002894954403075665
2018-03,low_pbr,A003920,0.0003732318259987361
2018-03,low_pbr,A004020,-0.0008382643704699797
2018-03,low_pbr,A004490,-0.0002670940025510254
2018-03,low_pbr,A005490,-0.0015450831651695814
2018-03,low_pbr,A006360,7.209093151498809e-11
2018-03,low_pbr,A009540,-0.0009786649952503873
2018-03,low_pbr,A010140,0.0010546103324042934
2018-03,low_pbr,A011210,-4.6117109544818446e-05
2018-03,low_pbr,A014830,0.0022804382719906224
2018-03,low_pbr,A015760,0.0002727769111560283
2018-03,low_pbr,A020000,0.004109711425891882
2018-03,low_pbr,A023530,0.005936592176159679
2018-03,low_pbr,A024110,-0.0024492920194607807
2018-03,low_pbr,A029530,0.0007100591229727624
2018-03,low_pbr,A029780,0.00032548553567030155
2018-03,low_pbr,A030200,-0.00027770067311197537
2018-03,low_pbr,A034020,0.001137656378617647
2018-03,low_pbr,A034120,0.0027300465508103815
2018-03,low_pbr,A036460,-0.00026271541011398575
2018-03,low_pbr,A060980,-0.0014053253980300206
2018-03,low_pbr,A069960,0.0007350239566935676
2018-03,low_pbr,A073240,0.0038387720194725406
2018-03,low_pbr,A088350,-0.001735107021661464
2018-03,low_pbr,A097230,-0.0015197569092582188
2018-04,baseline,A000030,0.0006196774179503008
2018-04,baseline,A000050,0.00037313432779124045
2018-04,baseline,A000070,0.0008511414629237457
2018-04,baseline,A000080,-0.0002421520623919163
2018-04,baseline,A000100,0.00016732479537263196
2018-04,baseline,A000120,0.0006849809285334771
2018-04,baseline,A000150,0.0008979492732773415
2018-04,baseline,A000210,0.0008552055383214732
2018-04,baseline,A000240,-1.341005014838328e-05
2018-04,baseline,A000270,0.00029499937769932185
2018-04,baseline,A000640,-0.00041302920039517537
2018-04,baseline,A000660,0.0001101503733337543
2018-04,baseline,A000670,-0.00043819569031296543
2018-04,baseline,A000720,0.0026871630888147236
2018-04,baseline,A000810,-4.615143487278518e-05
2018-04,baseline,A000880,8.34536850555491e-05
2018-04,baseline,A000990,-0.00012305961418326063
2018-04,baseline,A001040,3.0336121288331303e-05
2018-04,baseline,A001060,-0.00011706173626312218
2018-04,baseline,A001120,-2.7386002037764815e-05
2018-04,baseline,A001230,0.0005527916015419434
